csvName,name,uid,primary_uid,alias,addr,address_norm,area,area_name,catalogID,di_tag,std_tag,std_tag_id,tel,x,y,lon,lat,geo
西安交大,西安交通大学,d67ad39faf3a5d6929201a71,2419033015855752544,['交通大学'],陕西省西安市碑林区咸宁西路28号,[陕西省(610000)|PROV|1|][西安市(610100)|CITY|1|][碑林区(610103)|AREA|1|][文治路()|ROAD|0|]咸宁西路28号,8257,西安市碑林区,975,学校 教育 大学,教育培训;高等院校,1802,(029)83228400,12132861.77,4038466.26,108.9789034,34.2477539,108.9746903 34.2430668;108.9747404 34.2524857;108.9768549 34.2524859;108.9831451 34.252415;108.9831131 34.2478462;108.9831627 34.2434943;108.9831356 34.243392;108.982825 34.2432602;108.982476 34.2431148;108.9822135 34.2430362;108.981671 34.2429556;108.9747412 34.242921;108.9746903 34.2430668
西安交大,西安交通大学(曲江校区),1de2ab509879aa1ac6effb98,218253866175847752,['西安交通大学'],西安市雁塔区雁翔路99号,[陕西省(610000)|PROV|0|][西安市(610100)|CITY|1|][雁塔区(610113)|AREA|1|][雁翔路()|ROAD|1|99号$],8256,西安市雁塔区,467,学校 教育 大学,教育培训;高等院校,1802,(029)83399201,12134821.78,4035364.02,108.9963427,34.2248526,108.9945748 34.2274502;108.9977048 34.2288573;108.997442 34.2293882;108.9978783 34.2295718;108.9987647 34.2297558;108.9988311 34.2294246;109.0007018 34.229793;109.0019059 34.2276099;109.0003067 34.2269147;109.0014037 34.2250479;109.0029049 34.2257682;109.0032306 34.2253977;109.0005568 34.2241382;109.001382 34.2226909;108.9966614 34.2208027;108.9950036 34.2234502;108.993641 34.2257494;108.9951857 34.226405;108.9945748 34.2274502
西安交大,西安交大,ce0c0026d50a13ba465726f4,116384434480922209,,碑林区,[陕西省(610000)|PROV|0|][西安市(610100)|CITY|0|][碑林区(610103)|AREA|1|][文治路()|ROAD|0|],8257,西安市碑林区,0,商圈 行政区划,行政地标;商圈,2906,,12133268.0,4038410.2,108.9825184,34.2473859,108.9745291 34.2522213;108.9745569 34.2523626;108.9746514 34.2524943;108.9747975 34.2525855;108.9749846 34.2526235;108.983364 34.2526487;108.9916255 34.2525604;108.9918345 34.2524296;108.9919234 34.252216;108.9919552 34.2469418;108.9919275 34.246799;108.9917619 34.2466133;108.9915482 34.2465404;108.9889899 34.2465883;108.9887817 34.2465645;108.9885957 34.2464925;108.9883874 34.2463173;108.9882778 34.2460636;108.9882665 34.2434038;108.9882184 34.2432412;108.9881036 34.2431166;108.9796614 34.2395452;108.9794505 34.239499;108.9792698 34.2395264;108.9791523 34.2395845;108.9790375 34.2397023;108.9786275 34.2404568;108.9784471 34.2412017;108.9784867 34.2422778;108.9784165 34.2424536;108.9782554 34.2426215;108.9780765 34.2427131;108.9778647 34.2427551;108.9749335 34.2427688;108.9746886 34.2428703;108.9745694 34.2430337;108.9745287 34.2435322;108.9745291 34.2522213
西安交大,西安交大(雁塔校区),4edf9fbf3f91c697cc06a47f,17848772952661688319,,西安市雁塔区雁塔西路76号,[陕西省(610000)|PROV|0|][西安市(610100)|CITY|1|][雁塔区(610113)|AREA|1|][雁塔西路()|ROAD|1|76号$],8256,西安市雁塔区,468,学校 教育 大学,教育培训;高等院校,1802,(029)82655011,12128069.88,4034567.52,108.9360231,34.2187071,108.9301136 34.2180108;108.930219 34.2162204;108.935551 34.2162491;108.9410848 34.2161967;108.9410013 34.2196278;108.9366198 34.2196031;108.9349812 34.2196365;108.9347659 34.2195171;108.9346127 34.2192848;108.9346406 34.217942;108.9301136 34.2180108
西安交大,西安交通大学(兴庆校区)-教学二区,92ffcc24f0c2f85326e0a028,6961191780064950620,['西安交通大学(兴庆校区)-教学二区'; '西安交通大学兴庆校区教学二区'],兴庆南路5号,[陕西省(610000)|PROV|0|][西安市(610100)|CITY|0|][碑林区(610103)|AREA|0|][二环南路东段()|ROAD|0|]兴庆南路5号,8257,西安市碑林区,468,学校 教育 大学,教育培训;其他,1801,,12133572.15,4037865.69,108.9852223,34.2433633,108.9834732 34.2431646;108.9834731 34.2443521;108.9871565 34.2443785;108.9871506 34.2430051;108.9843207 34.2418257;108.9835927 34.2428733;108.9834732 34.2431646
西安交大,西安交通大学医学院第一附属医院,be1ea5efe36988a614948e56,1263138431370788863,,西安市雁塔区雁塔西路277号,[陕西省(610000)|PROV|0|][西安市(610100)|CITY|1|][雁塔区(610113)|AREA|1|][雁塔西路()|ROAD|1|277号$],8256,西安市雁塔区,486,医疗 医院,医疗;综合医院,2002,,12127640.52,4034915.01,108.932155,34.2213634,108.9327313 34.2223341;108.9334566 34.2223201;108.9343256 34.2223199;108.9343367 34.2203197;108.9342968 34.2202347;108.9341222 34.22007;108.9339097 34.2199854;108.9336763 34.2199887;108.9319134 34.219983;108.9303908 34.2199769;108.9299248 34.2199754;108.9299296 34.2223406;108.9302769 34.2223422;108.9323492 34.2224116;108.9327333 34.2224181;108.9327313 34.2223341
西安交大,西安交大第二附属医院,02a15a0ea6e4ae802cb17e12,4459783870492683358,['西北医院'],西安市新城区西五路157号,[陕西省(610000)|PROV|0|][西安市(610100)|CITY|1|][新城区(610102)|AREA|1|][西五路()|ROAD|1|157号$],8258,西安市新城区,0,三级医院 医疗 三甲医院 医院,医疗;综合医院,2002,(029)87678421,12129215.6,4041792.33,108.9463456,34.2724547,108.9480485 34.273143;108.9480595 34.2719574;108.9481772 34.2719252;108.9481682 34.2716743;108.9454632 34.2716698;108.9446665 34.2716673;108.9446725 34.2721551;108.9446874 34.2728208;108.9454292 34.2728204;108.9454412 34.2731312;108.9458599 34.2731294;108.9473147 34.2731525;108.9480485 34.273143
西安交大,西安交大-继续教育学院,b84dc63017ad43ec157643aa,6613167525582215412,['交大-继续教育学院'; '西安交通大学(雁塔校区)-继续教育学院'; '西安交通大学继续教育学院'],西安市雁塔区翠华路137号,[陕西省(610000)|PROV|0|][西安市(610100)|CITY|1|][雁塔区(610113)|AREA|1|][翠华路()|ROAD|1|137号$],8256,西安市雁塔区,468,学校 教育 学院,教育培训;成人教育,1806,(029)82657024,12129994.15,4034502.59,108.9533075,34.2180383,108.9519482 34.2191405;108.9542642 34.2191157;108.9542693 34.2189448;108.954682 34.2189275;108.9546705 34.2169777;108.9519607 34.2170146;108.9519482 34.2191405
西安交大,西安市儿童医院,a86009b1e0f6ea0707026fde,2841006169223183138,['陕西省儿童医疗中心'; '西安交通大学附属儿童医院'],西安市莲湖区西举院巷69号,[陕西省(610000)|PROV|0|][西安市(610100)|CITY|1|][莲湖区(610104)|AREA|1|][西举院巷()|ROAD|1|69号$],8255,西安市莲湖区,0,专科医院 医疗 儿童医院 医院,医疗;专科医院,2003,(029)87311818,12126540.0,4040622.95,108.9222519,34.2641129,108.9230651 34.2655474;108.9230601 34.2644025;108.9234475 34.2643916;108.9234614 34.2642764;108.9240023 34.2642556;108.9239696 34.2636113;108.9234106 34.2636213;108.923401 34.2628756;108.9226714 34.2628766;108.9226711 34.2625896;108.9210523 34.2626112;108.9210771 34.2655635;108.9230651 34.2655474
西安交大,西安交通大学-南门,39d43f82b29ff786a8059d54,17998542881794555903,['西安交通大学(南门)'; '西安交通大学兴庆校区(南门)'],陕西省西安市碑林区咸宁西路28号,[陕西省(610000)|PROV|1|][西安市(610100)|CITY|1|][碑林区(610103)|AREA|1|][友谊东路()|ROAD|0|]咸宁西路28号,8257,西安市碑林区,468,出入口 门,出入口;门,2708,,12132848.44,4037836.84,108.9787821,34.2430577,
